id,bge_text,ticker,company_name,year,field_code,field_name,val,esg_bucket
AA US Equity_2006_ES007,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Nitrogen Oxide Emissions (Code: ES007) = 42.6,AA US Equity,Alcoa Corp,2006,ES007,Nitrogen Oxide Emissions,42.6,ES
AA US Equity_2006_ES009,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: VOC Emissions (Code: ES009) = 11.9,AA US Equity,Alcoa Corp,2006,ES009,VOC Emissions,11.9,ES
AA US Equity_2006_ES036,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Emissions Reduction Initiatives (Code: ES036) = True,AA US Equity,Alcoa Corp,2006,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity_2006_ES041,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Environmental Quality ManagementPolicy (Code: ES041) = False,AA US Equity,Alcoa Corp,2006,ES041,Environmental Quality ManagementPolicy,False,ES
AA US Equity_2006_ES057,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Health and Safety Policy (Code: ES057) = True,AA US Equity,Alcoa Corp,2006,ES057,Health and Safety Policy,True,ES
AA US Equity_2006_ES059,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Human Rights Policy (Code: ES059) = True,AA US Equity,Alcoa Corp,2006,ES059,Human Rights Policy,True,ES
AA US Equity_2006_ES077,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: GHG Scope 2 Location-Based (Code: ES077) = 24600,AA US Equity,Alcoa Corp,2006,ES077,GHG Scope 2 Location-Based,24600,ES
AA US Equity_2006_ES088,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Biodiversity Policy (Code: ES088) = True,AA US Equity,Alcoa Corp,2006,ES088,Biodiversity Policy,True,ES
AA US Equity_2006_ES092,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Lost Time Incident Rate - Employees (Code: ES092) = 0.11,AA US Equity,Alcoa Corp,2006,ES092,Lost Time Incident Rate - Employees,0.11,ES
AA US Equity_2006_ES105,"Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Climate Change Opportunities
  Discussed (Code: ES105) = False",AA US Equity,Alcoa Corp,2006,ES105,"Climate Change Opportunities
  Discussed",False,ES
AA US Equity_2006_ES106,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Risks of Climate Change Discussed (Code: ES106) = False,AA US Equity,Alcoa Corp,2006,ES106,Risks of Climate Change Discussed,False,ES
AA US Equity_2006_ES121,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Total Recordable Incident Rate - Employees (Code: ES121) = 1.38,AA US Equity,Alcoa Corp,2006,ES121,Total Recordable Incident Rate - Employees,1.38,ES
AA US Equity_2006_ES197,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Anti-Bribery Ethics Policy (Code: ES197) = False,AA US Equity,Alcoa Corp,2006,ES197,Anti-Bribery Ethics Policy,False,ES
AA US Equity_2006_ES247,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Water Policy (Code: ES247) = True,AA US Equity,Alcoa Corp,2006,ES247,Water Policy,True,ES
AA US Equity_2006_F0947,"Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions (Code: F0947) = 33.7",AA US Equity,Alcoa Corp,2006,F0947,"Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions",33.7,ES
AA US Equity_2006_F0949,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Sulphur Dioxide / Sulphur Oxide Emissions (Code: F0949) = 261.5,AA US Equity,Alcoa Corp,2006,F0949,Sulphur Dioxide / Sulphur Oxide Emissions,261.5,ES
AA US Equity_2006_F1442,Company: Alcoa Corp (Ticker: AA US Equity) in 2006: Fatality Rate - Employees (Code: F1442) = 0.02,AA US Equity,Alcoa Corp,2006,F1442,Fatality Rate - Employees,0.02,ES
AA US Equity_2007_ES007,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Nitrogen Oxide Emissions (Code: ES007) = 32.8,AA US Equity,Alcoa Corp,2007,ES007,Nitrogen Oxide Emissions,32.8,ES
AA US Equity_2007_ES009,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: VOC Emissions (Code: ES009) = 7.5,AA US Equity,Alcoa Corp,2007,ES009,VOC Emissions,7.5,ES
AA US Equity_2007_ES036,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Emissions Reduction Initiatives (Code: ES036) = True,AA US Equity,Alcoa Corp,2007,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity_2007_ES041,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Environmental Quality ManagementPolicy (Code: ES041) = True,AA US Equity,Alcoa Corp,2007,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity_2007_ES045,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Pct Employees Unionized (Code: ES045) = 56.07,AA US Equity,Alcoa Corp,2007,ES045,Pct Employees Unionized,56.07,ES
AA US Equity_2007_ES057,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Health and Safety Policy (Code: ES057) = True,AA US Equity,Alcoa Corp,2007,ES057,Health and Safety Policy,True,ES
AA US Equity_2007_ES059,Company: Alcoa Corp (Ticker: AA US Equity) in 2007: Human Rights Policy (Code: ES059) = True,AA US Equity,Alcoa Corp,2007,ES059,Human Rights Policy,True,ES
