field_code,field_name,esg_bucket
CG002,Total Salaries Paid to CEO and Equivalent,G
CG003,Total Bonuses Paid to CEO and Equivalent,G
CG005,Total Stock Awards Given to CEO and Equivalent,G
CG006,Total Option Awards Given to CEO and Equivalent,G
CG007,Total Non Equity Incentives Given to CEO & Equivalent,G
CG042,Total Salaries Paid to Executives,G
CG043,Total Bonuses Paid to Executives,G
CG045,Total Stock Awards Given to Executives,G
CG046,Total Option Awards Given to Executives,G
CG047,Total Non Equity Incentives Given to Executives,G
CG053,"Number of CEO & Equivalent Incl
  Compensation Paid",G
CG065,Number of Executives Included Compensation Paid,G
CG072,Chief Executive Officer Tenure as of FY End,G
CG600,Board Size,G
CG612,Board Average Age,G
CG627,Percentage of Board Members that are Women,G
CG629,Chairperson or Equivalent a Woman,G
CG649,"Number of Board Positions Chair
  Holds",G
CG651,Number of Board Positions CEO Holds,G
CG653,CEO Founder (Y/N),G
CG656,"Average Number of Public Companies
  BOD Serve as BOD (Ex-CEO)",G
CG675,Number of Board Members Serving > 5 Years,G
CG676,Number of Board Members Serving > 10 Years,G
CG677,Highest Number of Boards Any Director Serves Ex CEO,G
CG681,Percentage of Non Executive Directors on 3+ Boards,G
CG682,Percentage of Executive Directors on 2+ Boards,G
CG690,Chairperson Tenure,G
CG692,Number of Chair Positions Chairman Holds,G
ES007,Nitrogen Oxide Emissions,ES
ES009,VOC Emissions,ES
ES010,Carbon Monoxide Emissions,ES
ES011,Methane (CH4) Scope 1,ES
ES013,Particulate Emissions,ES
ES014,Total Energy Consumption,ES
ES015,Renewable Energy Use,ES
ES018,Emissions to Water,ES
ES019,Hazardous Waste,ES
ES020,Total Waste,ES
ES025,Raw Materials Used,ES
ES026,Pct Recycled Materials,ES
ES027,Gas Flaring,ES
ES028,Number of Spills,ES
ES031,Phones Recycled,ES
ES032,Number of Environmental Fines,ES
ES033,Amount of Environmental Fines,ES
ES035,Energy Efficiency Policy,ES
ES036,Emissions Reduction Initiatives,ES
ES037,"Environmental Supply Chain
  Management",ES
ES038,Green Building Policy,ES
ES039,Waste Reduction Policy,ES
ES040,Sustainable Packaging,ES
ES041,Environmental Quality ManagementPolicy,ES
ES042,New Products - Climate Change,ES
ES044,Employee Turnover Pct,ES
ES045,Pct Employees Unionized,ES
ES046,Pct Women in Management,ES
ES047,Pct Women in Workforce,ES
ES048,Pct Minorities in Management,ES
ES049,Pct Minorities in Workforce,ES
ES057,Health and Safety Policy,ES
ES058,Equal Opportunity Policy,ES
ES059,Human Rights Policy,ES
ES061,BOARD_SIZE,G
ES062,INDEPENDENT_DIRECTORS,G
ES064,Board Duration,G
ES069,Business Ethics Policy,ES
ES070,Fair Remuneration Policy,ES
ES077,GHG Scope 2 Location-Based,ES
ES081,Total Water Discharged,ES
ES082,Water per Unit of Production,ES
ES083,Amount of Spills,ES
ES087,Sustainable/ESG Assets Under Management,ES
ES088,Biodiversity Policy,ES
ES091,Pct Disabled in Workforce,ES
ES092,Lost Time Incident Rate - Employees,ES
ES099,CEO Duality,G
ES101,Audit Committee Meetings,G
ES104,Waste Sent to Landfills,ES
ES105,"Climate Change Opportunities
  Discussed",ES
ES106,Risks of Climate Change Discussed,ES
ES110,"Executive Compensation Linked to
  ESG",G
ES112,PRI Signatory,ES
ES115,Fatalities - Third Party,ES
ES116,Number of Suppliers Audited,ES
ES117,Number of Supplier Audits Conducted,ES
ES118,Social Supply Chain Management,ES
ES119,Number Supplier Facilities Audited,ES
ES120,Number of Customer Complaints,ES
ES121,Total Recordable Incident Rate - Employees,ES
ES157,Purchased Electricity - Coal,ES
ES158,Purchased Electricity - Gas,ES
ES160,Purchased Electricity - Nuclear,ES
ES161,Purchased Electricity - Hydro,ES
ES162,Purchased Electricity - Wind,ES
ES163,Purchased Electricity - Solar,ES
ES164,Purchased Electricity - Biomass,ES
ES165,Purchased Electricity - Waste,ES
ES166,Purchased Electricity - Other Renewables,ES
ES167,Purchased Electricity Total Renewables,ES
ES168,Independent Lead Director,G
ES169,Presiding Director,G
ES171,Pct Ownership Required for Special Meeting,G
ES173,Poison Pill Plan (Y/N),G
ES179,Dual Class Unequal Voting Rights - Common (Y/N),G
ES182,Auditor Years Employed,G
ES183,Classified Board System (Y/N),G
ES193,Unitary or Two-Tier Board System,G
ES196,Employee Protection / Whistle Blower Policy,ES
ES197,Anti-Bribery Ethics Policy,ES
ES198,Sustain Sup Guidelines Encomp ESG Area Pub Disclsd,ES
ES199,"Total Hours Spent by Firm -
  Employee Training",ES
ES234,"Perfluorocarbon (PFC) Scope 1 in
  CO2 Equivalent",ES
ES235,Sulfur Hexafluoride (SF6) Scope 1 CO2 Equivalent,ES
ES237,Surface Water Withdrawals,ES
ES238,Groundwater Withdrawals,ES
ES239,Salt Water Withdrawals,ES
ES241,Reclaimed Water,ES
ES243,Chemical Oxygen Demand of Discharges,ES
ES244,"Biological Oxygen Demand of
  Discharges",ES
ES245,Cooling Water Inflow,ES
ES246,Cooling Water Outflow,ES
ES247,Water Policy,ES
ES249,Amount of Hydrocarbon Spills,ES
ES250,Percentage of Suppliers in Non-Compliance,ES
ES255,GHG Scope 2 Market-Based,ES
ES257,Number of Temporary Employees,ES
ES260,"Lost Time Incident Rate -
  Contractors",ES
ES261,Total Recordable Incident Rate - Contractors,ES
ES267,Mining Overburden,ES
ES268,Tailings Waste,ES
ES269,Total Water Withdrawal,ES
ES271,Nitrogen Emissions to Water,ES
ES272,Phosphorus Emissions to Water,ES
ES273,Independent Chairperson,G
ES284,NUM_OF_NONEXEC_DIR_ON_BRD,G
ES286,Cumulative Voting System (Y/N),G
ES291,Percentage of Female Executives,ES
ES299,Board Audit Committee Size,G
ES300,Audit Committee Independence,G
ES302,Audit Committee Leadership Independence,G
ES303,Audit Committee Non-Executives,G
ES304,Audit Committee Attendance,G
