ticker,year,field_code,val,incomplete,source_file,field_name,esg_bucket,company_name
AA US Equity,2006,ES007,42.6,True,Combined_ES_Scores_09.xlsx,Nitrogen Oxide Emissions,ES,Alcoa Corp
AA US Equity,2006,ES009,11.9,True,Combined_ES_Scores_09.xlsx,VOC Emissions,ES,Alcoa Corp
AA US Equity,2006,ES036,True,True,Combined_ES_Scores_09.xlsx,Emissions Reduction Initiatives,ES,Alcoa Corp
AA US Equity,2006,ES041,False,True,Combined_ES_Scores_09.xlsx,Environmental Quality ManagementPolicy,ES,Alcoa Corp
AA US Equity,2006,ES057,True,True,Combined_ES_Scores_09.xlsx,Health and Safety Policy,ES,Alcoa Corp
AA US Equity,2006,ES059,True,True,Combined_ES_Scores_09.xlsx,Human Rights Policy,ES,Alcoa Corp
AA US Equity,2006,ES077,24600,True,Combined_ES_Scores_09.xlsx,GHG Scope 2 Location-Based,ES,Alcoa Corp
AA US Equity,2006,ES088,True,True,Combined_ES_Scores_09.xlsx,Biodiversity Policy,ES,Alcoa Corp
AA US Equity,2006,ES092,0.11,True,Combined_ES_Scores_09.xlsx,Lost Time Incident Rate - Employees,ES,Alcoa Corp
AA US Equity,2006,ES105,False,True,Combined_ES_Scores_09.xlsx,"Climate Change Opportunities
  Discussed",ES,Alcoa Corp
AA US Equity,2006,ES106,False,True,Combined_ES_Scores_09.xlsx,Risks of Climate Change Discussed,ES,Alcoa Corp
AA US Equity,2006,ES121,1.38,True,Combined_ES_Scores_09.xlsx,Total Recordable Incident Rate - Employees,ES,Alcoa Corp
AA US Equity,2006,ES197,False,True,Combined_ES_Scores_09.xlsx,Anti-Bribery Ethics Policy,ES,Alcoa Corp
AA US Equity,2006,ES247,True,True,Combined_ES_Scores_09.xlsx,Water Policy,ES,Alcoa Corp
AA US Equity,2006,F0947,33.7,True,Combined_ES_Scores_09.xlsx,"Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions",ES,Alcoa Corp
AA US Equity,2006,F0949,261.5,True,Combined_ES_Scores_09.xlsx,Sulphur Dioxide / Sulphur Oxide Emissions,ES,Alcoa Corp
AA US Equity,2006,F1442,0.02,True,Combined_ES_Scores_09.xlsx,Fatality Rate - Employees,ES,Alcoa Corp
AA US Equity,2007,ES007,32.8,True,Combined_ES_Scores_09.xlsx,Nitrogen Oxide Emissions,ES,Alcoa Corp
AA US Equity,2007,ES009,7.5,True,Combined_ES_Scores_09.xlsx,VOC Emissions,ES,Alcoa Corp
AA US Equity,2007,ES036,True,True,Combined_ES_Scores_09.xlsx,Emissions Reduction Initiatives,ES,Alcoa Corp
AA US Equity,2007,ES041,True,True,Combined_ES_Scores_09.xlsx,Environmental Quality ManagementPolicy,ES,Alcoa Corp
AA US Equity,2007,ES045,56.07,True,Combined_ES_Scores_09.xlsx,Pct Employees Unionized,ES,Alcoa Corp
AA US Equity,2007,ES057,True,True,Combined_ES_Scores_09.xlsx,Health and Safety Policy,ES,Alcoa Corp
AA US Equity,2007,ES059,True,True,Combined_ES_Scores_09.xlsx,Human Rights Policy,ES,Alcoa Corp
AA US Equity,2007,ES077,26300,True,Combined_ES_Scores_09.xlsx,GHG Scope 2 Location-Based,ES,Alcoa Corp
AA US Equity,2007,ES088,True,True,Combined_ES_Scores_09.xlsx,Biodiversity Policy,ES,Alcoa Corp
AA US Equity,2007,ES092,0.12,True,Combined_ES_Scores_09.xlsx,Lost Time Incident Rate - Employees,ES,Alcoa Corp
AA US Equity,2007,ES105,False,True,Combined_ES_Scores_09.xlsx,"Climate Change Opportunities
  Discussed",ES,Alcoa Corp
AA US Equity,2007,ES106,True,True,Combined_ES_Scores_09.xlsx,Risks of Climate Change Discussed,ES,Alcoa Corp
AA US Equity,2007,ES121,1.46,True,Combined_ES_Scores_09.xlsx,Total Recordable Incident Rate - Employees,ES,Alcoa Corp
AA US Equity,2007,ES197,True,True,Combined_ES_Scores_09.xlsx,Anti-Bribery Ethics Policy,ES,Alcoa Corp
AA US Equity,2007,ES247,True,True,Combined_ES_Scores_09.xlsx,Water Policy,ES,Alcoa Corp
AA US Equity,2007,F0947,31.3,True,Combined_ES_Scores_09.xlsx,"Scope 1 Greenhouse Gas / Carbon
  Dioxide Emissions",ES,Alcoa Corp
AA US Equity,2007,F0949,214.6,True,Combined_ES_Scores_09.xlsx,Sulphur Dioxide / Sulphur Oxide Emissions,ES,Alcoa Corp
AA US Equity,2007,F1442,0.04,True,Combined_ES_Scores_09.xlsx,Fatality Rate - Employees,ES,Alcoa Corp
AA US Equity,2008,ES007,31.7,True,Combined_ES_Scores_09.xlsx,Nitrogen Oxide Emissions,ES,Alcoa Corp
AA US Equity,2008,ES009,7.3,True,Combined_ES_Scores_09.xlsx,VOC Emissions,ES,Alcoa Corp
AA US Equity,2008,ES036,True,True,Combined_ES_Scores_09.xlsx,Emissions Reduction Initiatives,ES,Alcoa Corp
AA US Equity,2008,ES041,False,True,Combined_ES_Scores_09.xlsx,Environmental Quality ManagementPolicy,ES,Alcoa Corp
AA US Equity,2008,ES045,65.52,True,Combined_ES_Scores_09.xlsx,Pct Employees Unionized,ES,Alcoa Corp
AA US Equity,2008,ES057,True,True,Combined_ES_Scores_09.xlsx,Health and Safety Policy,ES,Alcoa Corp
AA US Equity,2008,ES059,True,True,Combined_ES_Scores_09.xlsx,Human Rights Policy,ES,Alcoa Corp
AA US Equity,2008,ES077,27100,True,Combined_ES_Scores_09.xlsx,GHG Scope 2 Location-Based,ES,Alcoa Corp
