ticker,company_name,year,field_code,field_name,val,esg_bucket
AA US Equity,Alcoa Corp,2006,ES007,Nitrogen Oxide Emissions,42.6,ES
AA US Equity,Alcoa Corp,2007,ES007,Nitrogen Oxide Emissions,32.8,ES
AA US Equity,Alcoa Corp,2008,ES007,Nitrogen Oxide Emissions,31.7,ES
AA US Equity,Alcoa Corp,2009,ES007,Nitrogen Oxide Emissions,30.9,ES
AA US Equity,Alcoa Corp,2010,ES007,Nitrogen Oxide Emissions,30,ES
AA US Equity,Alcoa Corp,2011,ES007,Nitrogen Oxide Emissions,38.1,ES
AA US Equity,Alcoa Corp,2012,ES007,Nitrogen Oxide Emissions,33.7,ES
AA US Equity,Alcoa Corp,2013,ES007,Nitrogen Oxide Emissions,31.9,ES
AA US Equity,Alcoa Corp,2014,ES007,Nitrogen Oxide Emissions,27.9,ES
AA US Equity,Alcoa Corp,2015,ES007,Nitrogen Oxide Emissions,25.4,ES
AA US Equity,Alcoa Corp,2016,ES007,Nitrogen Oxide Emissions,16.9,ES
AA US Equity,Alcoa Corp,2017,ES007,Nitrogen Oxide Emissions,15.1,ES
AA US Equity,Alcoa Corp,2018,ES007,Nitrogen Oxide Emissions,19.3,ES
AA US Equity,Alcoa Corp,2019,ES007,Nitrogen Oxide Emissions,20.1,ES
AA US Equity,Alcoa Corp,2006,ES009,VOC Emissions,11.9,ES
AA US Equity,Alcoa Corp,2007,ES009,VOC Emissions,7.5,ES
AA US Equity,Alcoa Corp,2008,ES009,VOC Emissions,7.3,ES
AA US Equity,Alcoa Corp,2009,ES009,VOC Emissions,5.4,ES
AA US Equity,Alcoa Corp,2010,ES009,VOC Emissions,4.9,ES
AA US Equity,Alcoa Corp,2011,ES009,VOC Emissions,5,ES
AA US Equity,Alcoa Corp,2012,ES009,VOC Emissions,4.8,ES
AA US Equity,Alcoa Corp,2013,ES009,VOC Emissions,4.9,ES
AA US Equity,Alcoa Corp,2014,ES009,VOC Emissions,0.48,ES
AA US Equity,Alcoa Corp,2015,ES009,VOC Emissions,0.43,ES
AA US Equity,Alcoa Corp,2016,ES009,VOC Emissions,0.49,ES
AA US Equity,Alcoa Corp,2017,ES009,VOC Emissions,0.56,ES
AA US Equity,Alcoa Corp,2018,ES009,VOC Emissions,0.59,ES
AA US Equity,Alcoa Corp,2019,ES009,VOC Emissions,3.19,ES
AA US Equity,Alcoa Corp,2019,ES010,Carbon Monoxide Emissions,246.69,ES
AA US Equity,Alcoa Corp,2019,ES013,Particulate Emissions,8.55,ES
AA US Equity,Alcoa Corp,2010,ES014,Total Energy Consumption,133228,ES
AA US Equity,Alcoa Corp,2011,ES014,Total Energy Consumption,90767.8,ES
AA US Equity,Alcoa Corp,2012,ES014,Total Energy Consumption,115661,ES
AA US Equity,Alcoa Corp,2013,ES014,Total Energy Consumption,99055.4,ES
AA US Equity,Alcoa Corp,2014,ES014,Total Energy Consumption,126921,ES
AA US Equity,Alcoa Corp,2015,ES014,Total Energy Consumption,86911.3,ES
AA US Equity,Alcoa Corp,2016,ES014,Total Energy Consumption,97974.1,ES
AA US Equity,Alcoa Corp,2017,ES014,Total Energy Consumption,92197.5,ES
AA US Equity,Alcoa Corp,2018,ES014,Total Energy Consumption,92056.4,ES
AA US Equity,Alcoa Corp,2019,ES014,Total Energy Consumption,90523,ES
AA US Equity,Alcoa Corp,2015,ES020,Total Waste,23255.6,ES
AA US Equity,Alcoa Corp,2016,ES020,Total Waste,23236.4,ES
AA US Equity,Alcoa Corp,2017,ES020,Total Waste,23199.9,ES
AA US Equity,Alcoa Corp,2018,ES020,Total Waste,23213.6,ES
AA US Equity,Alcoa Corp,2019,ES020,Total Waste,23643.7,ES
AA US Equity,Alcoa Corp,2015,ES032,Number of Environmental Fines,3,ES
AA US Equity,Alcoa Corp,2016,ES032,Number of Environmental Fines,3,ES
AA US Equity,Alcoa Corp,2017,ES032,Number of Environmental Fines,5,ES
AA US Equity,Alcoa Corp,2018,ES032,Number of Environmental Fines,3,ES
AA US Equity,Alcoa Corp,2019,ES032,Number of Environmental Fines,5,ES
AA US Equity,Alcoa Corp,2015,ES033,Amount of Environmental Fines,0.07,ES
AA US Equity,Alcoa Corp,2016,ES033,Amount of Environmental Fines,0.02,ES
AA US Equity,Alcoa Corp,2017,ES033,Amount of Environmental Fines,0.08,ES
AA US Equity,Alcoa Corp,2018,ES033,Amount of Environmental Fines,0.14,ES
AA US Equity,Alcoa Corp,2019,ES033,Amount of Environmental Fines,0.06,ES
AA US Equity,Alcoa Corp,2006,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2007,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2008,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2009,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2010,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2011,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2012,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2013,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2014,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2015,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2016,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2017,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2018,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2019,ES036,Emissions Reduction Initiatives,True,ES
AA US Equity,Alcoa Corp,2006,ES041,Environmental Quality ManagementPolicy,False,ES
AA US Equity,Alcoa Corp,2007,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity,Alcoa Corp,2008,ES041,Environmental Quality ManagementPolicy,False,ES
AA US Equity,Alcoa Corp,2009,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity,Alcoa Corp,2010,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity,Alcoa Corp,2011,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity,Alcoa Corp,2012,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity,Alcoa Corp,2013,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity,Alcoa Corp,2014,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity,Alcoa Corp,2015,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity,Alcoa Corp,2016,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity,Alcoa Corp,2017,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity,Alcoa Corp,2018,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity,Alcoa Corp,2019,ES041,Environmental Quality ManagementPolicy,True,ES
AA US Equity,Alcoa Corp,2007,ES045,Pct Employees Unionized,56.07,ES
AA US Equity,Alcoa Corp,2008,ES045,Pct Employees Unionized,65.52,ES
AA US Equity,Alcoa Corp,2009,ES045,Pct Employees Unionized,62.71,ES
AA US Equity,Alcoa Corp,2010,ES045,Pct Employees Unionized,64.07,ES
AA US Equity,Alcoa Corp,2011,ES045,Pct Employees Unionized,50.81,ES
AA US Equity,Alcoa Corp,2012,ES045,Pct Employees Unionized,55.73,ES
AA US Equity,Alcoa Corp,2013,ES045,Pct Employees Unionized,66.66,ES
AA US Equity,Alcoa Corp,2014,ES045,Pct Employees Unionized,62.71,ES
AA US Equity,Alcoa Corp,2015,ES045,Pct Employees Unionized,62,ES
AA US Equity,Alcoa Corp,2016,ES045,Pct Employees Unionized,69.64,ES
AA US Equity,Alcoa Corp,2017,ES045,Pct Employees Unionized,65.76,ES
AA US Equity,Alcoa Corp,2018,ES045,Pct Employees Unionized,76.42,ES
AA US Equity,Alcoa Corp,2019,ES045,Pct Employees Unionized,76.08,ES
AA US Equity,Alcoa Corp,2006,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2007,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2008,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2009,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2010,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2011,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2012,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2013,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2014,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2015,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2016,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2017,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2018,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2019,ES057,Health and Safety Policy,True,ES
AA US Equity,Alcoa Corp,2006,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2007,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2008,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2009,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2010,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2011,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2012,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2013,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2014,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2015,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2016,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2017,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2018,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2019,ES059,Human Rights Policy,True,ES
AA US Equity,Alcoa Corp,2006,ES077,GHG Scope 2 Location-Based,24600,ES
AA US Equity,Alcoa Corp,2007,ES077,GHG Scope 2 Location-Based,26300,ES
AA US Equity,Alcoa Corp,2008,ES077,GHG Scope 2 Location-Based,27100,ES
AA US Equity,Alcoa Corp,2009,ES077,GHG Scope 2 Location-Based,19800,ES
AA US Equity,Alcoa Corp,2010,ES077,GHG Scope 2 Location-Based,15900,ES
AA US Equity,Alcoa Corp,2011,ES077,GHG Scope 2 Location-Based,16600,ES
AA US Equity,Alcoa Corp,2012,ES077,GHG Scope 2 Location-Based,16700,ES
AA US Equity,Alcoa Corp,2013,ES077,GHG Scope 2 Location-Based,15134.8,ES
AA US Equity,Alcoa Corp,2014,ES077,GHG Scope 2 Location-Based,13500,ES
AA US Equity,Alcoa Corp,2015,ES077,GHG Scope 2 Location-Based,10693.8,ES
AA US Equity,Alcoa Corp,2016,ES077,GHG Scope 2 Location-Based,8074.41,ES
AA US Equity,Alcoa Corp,2017,ES077,GHG Scope 2 Location-Based,6580.85,ES
AA US Equity,Alcoa Corp,2018,ES077,GHG Scope 2 Location-Based,7300,ES
AA US Equity,Alcoa Corp,2019,ES077,GHG Scope 2 Location-Based,6600,ES
AA US Equity,Alcoa Corp,2006,ES088,Biodiversity Policy,True,ES
AA US Equity,Alcoa Corp,2007,ES088,Biodiversity Policy,True,ES
AA US Equity,Alcoa Corp,2008,ES088,Biodiversity Policy,True,ES
AA US Equity,Alcoa Corp,2009,ES088,Biodiversity Policy,True,ES
AA US Equity,Alcoa Corp,2010,ES088,Biodiversity Policy,True,ES
